Title,URL,Publication Year,Abstract
AERIAL DRONE COMPANION DEVICE AND A METHOD OF OPERATING AN AERIAL DRONE COMPANION DEVICE,https://lens.org/059-472-052-640-920,2018,"A method of operating an aerial drone companion device includes detecting a first voice command spoken by a first user. The aerial drone companion device is autonomously oriented such that an image capture device faces the first user in response to detecting the first voice command. A second voice command spoken by the first user is detected while the image capture device faces the first user. The second voice command is transmitted from the aerial drone companion device to a computer located remotely from the aerial drone companion device. A task signal is received indicating a task to be performed. The task signal is generated by the computer based on the second voice command, and the task signal is transmitted by the computer and received by the aerial drone companion device. The method includes autonomously executing the task by the aerial drone companion device."
Aerial drone companion device and a method of operating an aerial drone companion device,https://lens.org/059-612-079-304-443,2018,"A method of operating an aerial drone companion device includes detecting a first voice command spoken by a first user. The aerial drone companion device is autonomously oriented such that an image capture device faces the first user in response to detecting the first voice command. A second voice command spoken by the first user is detected while the image capture device faces the first user. The second voice command is transmitted from the aerial drone companion device to a computer located remotely from the aerial drone companion device. A task signal is received indicating a task to be performed. The task signal is generated by the computer based on the second voice command, and the task signal is transmitted by the computer and received by the aerial drone companion device. The method includes autonomously executing the task by the aerial drone companion device."
Onboard drone human-machine interface for autonomous operation,https://lens.org/033-727-794-808-209,2021,"An autonomous drone system uses an onboard command and control system for controlling operations of a drone without the need for a radio frequency controller or an external electronic device programming unit. The system uses a control unit that interacts with the drone's unmanned aerial system flight controller. The control unit is programmed via an HMI button that is resident onboard the drone. Various sequences of HMI button depressions program the drone for its missions as well as command the drone to perform the missions. A microphone can be substituted for or can augment the HMI button. Various devices, such as a speaker, lights, a visual display screen, etc., can be resident on the drone for giving a user feedback during command and programming of the drone."
AUTONOMOUS NAVIGATION OF AN UNMANNED AERIAL VEHICLE,https://lens.org/129-513-967-300-276,2018,A system for autonomous navigation of an unmanned aerial vehicle.
"User equipment, system, and control method for controlling drone",https://lens.org/148-532-206-320-814,2023,"Provided is a user equipment for controlling a drone. The user equipment analyzes an original video to control the drone to photograph a reproduction video giving a feeling identical to or similar to the original video. An electronic device may be connected to an artificial intelligence module, a robot, an augmented reality (AR) device, a virtual reality (VR) device, a device related to 5G service, and the like."
"User equipment, system, and control method for controlling drone",https://lens.org/148-532-206-320-814,2023,"Provided is a user equipment for controlling a drone. The user equipment analyzes an original video to control the drone to photograph a reproduction video giving a feeling identical to or similar to the original video. An electronic device may be connected to an artificial intelligence module, a robot, an augmented reality (AR) device, a virtual reality (VR) device, a device related to 5G service, and the like."
"USER EQUIPMENT, SYSTEM, AND CONTROL METHOD FOR CONTROLLING DRONE",https://lens.org/046-703-121-297-868,2021,"Provided is a user equipment for controlling a drone. The user equipment analyzes an original video to control the drone to photograph a reproduction video giving a feeling identical to or similar to the original video. An electronic device may be connected to an artificial intelligence module, a robot, an augmented reality (AR) device, a virtual reality (VR) device, a device related to 5G service, and the like."
AUTONOMOUS DRONE,https://lens.org/190-048-859-515-65X,2023,"An autonomous drone is provided. When a remote control circuit of a remote controller is triggered to output a remote control signal, a main controller of a drone records the remote control signal and a flight control panel of the drone controls the drone to fly according to the remote control signal. When the remote controller is triggered to output an automatic flight signal, a signal receiver of the drone receives and transmits the automatic flight signal to the main controller. At this time, the main controller instructs the flight control panel to control the drone to fly according to movement instruction messages of the remote control signal previously recorded."
DRONE PAYLOAD SYSTEM,https://lens.org/198-691-574-445-436,2019,"A drone payload device includes a remote drone arm and a control module. The remote drone are is coupleable to a drone. The remote drone arm includes a base, an arm, and a gripper. The base includes mounting hardware to couple to the drone. The arm extends from the base. The griper is coupled to the arm at an end of the arm distal from the base. The control module is coupleable to a drone controller. The control module is to provide a control signal to the remote drone arm to control a movement of at least one of the arm and the gripper."
Drone payload system,https://lens.org/178-369-448-015-194,2020,"A drone payload device includes a remote drone arm and a control module. The remote drone are is coupleable to a drone. The remote drone arm includes a base, an arm, and a gripper. The base includes mounting hardware to couple to the drone. The arm extends from the base. The griper is coupled to the arm at an end of the arm distal from the base. The control module is coupleable to a drone controller. The control module is to provide a control signal to the remote drone arm to control a movement of at least one of the arm and the gripper."
"Drone, method for controlling flight of the same, and non-transitory computer-readable recording medium storing program",https://lens.org/084-847-945-186-950,2018,"A drone, a method for controlling the flight of a drone, and a program for controlling the flight of a drone capable of preventing the drone from flying into a place where it is difficult for an operator to visually observe the drone and flying the drone within an area in which the operator can visually observe the drone are provided. A control unit of the drone determines whether an illuminance detected by an illuminance sensor satisfies a required illuminance for the drone to fly, and if the detected illuminance does not satisfy the required illuminance, inhibits the drone from flying in the flight direction."
"DRONE, METHOD FOR CONTROLLING FLIGHT OF THE SAME, AND NON-TRANSITORY COMPUTER-READABLE RECORDING MEDIUM STORING PROGRAM",https://lens.org/153-773-754-310-48X,2017,"A drone, a method for controlling the flight of a drone, and a program for controlling the flight of a drone capable of preventing the drone from flying into a place where it is difficult for an operator to visually observe the drone and flying the drone within an area in which the operator can visually observe the drone are provided. A control unit of the drone determines whether an illuminance detected by an illuminance sensor satisfies a required illuminance for the drone to fly, and if the detected illuminance does not satisfy the required illuminance, inhibits the drone from flying in the flight direction."
ACCIDENT IDENTIFICATION AND COMMUNICATION IN VEHICLES,https://lens.org/044-541-296-643-927,2017,"A drone control method includes commanding a drone launched from a vehicle to execute a predefined schedule of flight commands such that the drone occupies a series of locations within a predefined radius from a buoy, which is also launched from the vehicle, to identify a drone position relative to the buoy associated with a maximum signal strength of the communication signal. The execution of the predefined schedule may be in response to receipt of a communication signal from an emergency responder."
"Apparatus, method and software for assisting human operator in flying drone using remote controller",https://lens.org/118-417-369-552-204,2022,"Apparatus, method, and software for assisting human operator in flying drone using remote controller. The apparatus includes an internal data communication interface configured to receive data from the remote controller, an augmented reality display configured to display the data, one or more memories including computer program code, and one or more processors to cause the apparatus to: superimpose, on the augmented reality display, a target symbol indicating a position of the drone while the human operator is looking towards the drone; superimpose, on the augmented reality display, an orientation symbol indicating an orientation of the drone while the human operator is looking towards the drone; obtain a geographic location related to the drone; and set a world marker on the obtained geographic location."
